benchmark,shape,method,thread,parameter,time(s),speedup
resize,"(64, 128, 1, 100)",triton_tuned,1,"(4,)",0.122321,0.9353
resize,"(64, 128, 1, 100)",triton_tuned,4,"(4,)",0.0350017,3.2686
resize,"(64, 128, 1, 100)",triton_tuned,8,"(4,)",0.0212886,5.3741
resize,"(64, 256, 1, 100)",clang,1,,0.223343,1.0
resize,"(64, 256, 1, 100)",clang,4,,0.0607919,3.6739
resize,"(64, 256, 1, 100)",clang,8,,0.0342844,6.5144
resize,"(64, 256, 1, 100)",triton_tuned,1,"(4,)",0.239904,0.931
resize,"(64, 256, 1, 100)",triton_tuned,4,"(4,)",0.0648507,3.444
resize,"(64, 256, 1, 100)",triton_tuned,8,"(4,)",0.036694,6.0866
resize,"(128, 32, 1, 100)",clang,1,,0.0597523,1.0
resize,"(128, 32, 1, 100)",clang,4,,0.0193969,3.0805
resize,"(128, 32, 1, 100)",clang,8,,0.0132799,4.4995
resize,"(128, 32, 1, 100)",triton_tuned,1,"(4,)",0.0639977,0.9337
resize,"(128, 32, 1, 100)",triton_tuned,4,"(4,)",0.0207113,2.885
resize,"(128, 32, 1, 100)",triton_tuned,8,"(4,)",0.0142255,4.2004
resize,"(128, 64, 1, 100)",clang,1,,0.114647,1.0
resize,"(128, 64, 1, 100)",clang,4,,0.0332527,3.4478
resize,"(128, 64, 1, 100)",clang,8,,0.0202771,5.654
resize,"(128, 64, 1, 100)",triton_tuned,1,"(4,)",0.122959,0.9324
resize,"(128, 64, 1, 100)",triton_tuned,4,"(4,)",0.0360623,3.1791
resize,"(128, 64, 1, 100)",triton_tuned,8,"(4,)",0.0215773,5.3133
resize,"(128, 128, 1, 100)",clang,1,,0.223644,1.0
resize,"(128, 128, 1, 100)",clang,4,,0.0605814,3.6916
resize,"(128, 128, 1, 100)",clang,8,,0.0341663,6.5457
resize,"(128, 128, 1, 100)",triton_tuned,1,"(4,)",0.24118,0.9273
resize,"(128, 128, 1, 100)",triton_tuned,4,"(4,)",0.0654773,3.4156
resize,"(128, 128, 1, 100)",triton_tuned,8,"(4,)",0.0368266,6.0729
resize,"(128, 256, 1, 100)",clang,1,,0.441975,1.0
resize,"(128, 256, 1, 100)",clang,4,,0.11609,3.8072
resize,"(128, 256, 1, 100)",clang,8,,0.0616047,7.1744
resize,"(128, 256, 1, 100)",triton_tuned,1,"(4,)",0.476657,0.9272
resize,"(128, 256, 1, 100)",triton_tuned,4,"(4,)",0.125527,3.521
resize,"(128, 256, 1, 100)",triton_tuned,8,"(4,)",0.0662793,6.6684
resize,"(256, 32, 1, 100)",clang,1,,0.11554,1.0
resize,"(256, 32, 1, 100)",clang,4,,0.0333285,3.4667
resize,"(256, 32, 1, 100)",clang,8,,0.0203554,5.6761
resize,"(256, 32, 1, 100)",triton_tuned,1,"(4,)",0.124351,0.9291
resize,"(256, 32, 1, 100)",triton_tuned,4,"(4,)",0.0361849,3.193
resize,"(256, 32, 1, 100)",triton_tuned,8,"(4,)",0.0220439,5.2414
resize,"(256, 64, 1, 100)",clang,1,,0.224796,1.0
resize,"(256, 64, 1, 100)",clang,4,,0.0608733,3.6929
resize,"(256, 64, 1, 100)",clang,8,,0.0344763,6.5203
resize,"(256, 64, 1, 100)",triton_tuned,1,"(4,)",0.24097,0.9329
resize,"(256, 64, 1, 100)",triton_tuned,4,"(4,)",0.0656853,3.4223
resize,"(256, 64, 1, 100)",triton_tuned,8,"(4,)",0.0372914,6.0281
resize,"(256, 128, 1, 100)",clang,1,,0.442956,1.0
resize,"(256, 128, 1, 100)",clang,4,,0.116507,3.802
resize,"(256, 128, 1, 100)",clang,8,,0.0619423,7.1511
resize,"(256, 128, 1, 100)",triton_tuned,1,"(4,)",0.476511,0.9296
resize,"(256, 128, 1, 100)",triton_tuned,4,"(4,)",0.125989,3.5158
resize,"(256, 128, 1, 100)",triton_tuned,8,"(4,)",0.0675333,6.5591
resize,"(256, 256, 1, 100)",clang,1,,0.879957,1.0
resize,"(256, 256, 1, 100)",clang,4,,0.226137,3.8913
resize,"(256, 256, 1, 100)",clang,8,,0.117682,7.4774
resize,"(256, 256, 1, 100)",triton_tuned,1,"(4,)",0.948918,0.9273
resize,"(256, 256, 1, 100)",triton_tuned,4,"(4,)",0.245649,3.5822
resize,"(256, 256, 1, 100)",triton_tuned,8,"(4,)",0.126783,6.9407
